"id","happyHour","companyName","venueName","address","suburb","lat","lng","emoji","vibe","typeCategory","typeLabel","tags","heating","hasBalcony","price","capacity","opening_hours","venue_description","official_website_url","contact_phone","notes","proTip","image","hasFireplace","shielding","hasCozy","sunIntelligence","roomTypes","city","state"
"dv-11",,"Dixon Hospitality","Good Heavens Rooftop","Level 2, 79 Bourke Street, Melbourne VIC 3000","CBD","-37.8119","144.9712","🍹","Palm Springs Style",,,"[""Cocktails"",""Sunny"",""Rooftop"",""Smoking Area"",""Specialty Coffee"",""Live Music""]","heated outdoor",,,,,,,,"Example Dixon Hospitality venue for outreach deck.",,"/images/venues/goodheavensrooftop.jpg",,,"true",,,,
"dv-12",,"Melbourne Pub Group","Railway Hotel (Windsor)","29 Chapel Street, Windsor VIC 3181, Australia","Windsor","-37.8558","144.9924","🍺","Pub · Restaurant",,,"[""24h License"",""Deck"",""Beer Garden"",""Smoking Area"",""Wheelchair Accessible""]","fireplace",,,,,,,,"Example Melbourne Pub Group venue for outreach deck.",,"/images/venues/railwayhotelwindsor.jpg",,,"true",,,,
"dv-13",,"Lucas Restaurants","Chin Chin","125 Flinders Lane, Melbourne VIC 3000","CBD","-37.81561","144.97038","🌶️","Southeast Asian Restaurant","Bar","Southeast Asian Restaurant","[""Premium"",""Sunny"",""Large Groups"",""Indoor Warmth"",""Cocktails""]","indoor only",,"$$$",,"Daily 11am–11pm.","A busy Flinders Lane restaurant serving Thai-inspired hawker dishes with Indian and Vietnamese influences. Walk-ins are welcome; the downstairs GoGo Bar is the usual overflow while you wait.","https://www.chinchin.melbourne/","(03) 8663 2000","Lucas Restaurants — Chin Chin Melbourne.",,,,,"false",,,,
"dv-14",,"Industry Beans","Industry Beans Fitzroy","70–76 Westgarth Street, Fitzroy VIC 3065","Fitzroy","-37.7985","144.9788","☕","Cafe & Roastery","Bar","Cafe & Roastery","[""Specialty Coffee"",""Sunny"",""Wheelchair Accessible"",""Morning Sun"",""Vegan""]","indoor only",,"$$",,"Weekdays 7am–3:30pm; weekends 8am–3:30pm.","Industry Beans HQ in a warehouse conversion: cafe, coffee bar, retail and roasting under one roof in the Fitzroy backstreets.","https://industrybeans.com/pages/fitzroy-cafe-and-roastery","(03) 9417 1034","Specialty coffee roastery and cafe.",,,,,"false",,,,
"dv-15",,"The Boatbuilders Yard","The Boatbuilders Yard","23 South Wharf Promenade, South Wharf VIC 3006","South Wharf","-37.8245","144.9528","🥂","Waterfront Pub","Bar","Waterfront Pub","[""River"",""Sunny"",""Beer Garden"",""Wheelchair Accessible"",""Pram Friendly"",""Afternoon Sun""]","heated outdoor",,"$$",,"Mon–Tue 9am–9pm; Wed–Thu 9am–10pm; Fri–Sat 8am–11pm; Sun 8am–9pm.","A Yarra-side pub and cafe on South Wharf Promenade with a beer garden, brunch through dinner, and a relaxed waterfront crowd.","https://theboatbuildersyard.com.au/","(03) 9686 5088","South Wharf waterfront pub.",,,,,"true",,,,
"dv-16",,"Trader House","The Builders Arms Hotel","211 Gertrude Street, Fitzroy VIC 3065","Fitzroy","-37.8058","144.9788","🛋️","Pub & Dining Room","Bar","Pub & Dining Room","[""Pub"",""Historic"",""Wheelchair Accessible"",""Fireplace"",""Craft Beer""]","fireplace",,"$$",,"Daily from midday; kitchen lunch and dinner.","A Gertrude Street pub from the Trader House group, with a dining room, beer garden and a neighbourhood-pub bar.","https://buildersarmshotel.com.au/","(03) 9417 7703","Trader House pub on Gertrude Street.",,,,,"true",,,,
"dv-17",,"Lancemore Group","Lancemore Crossley St","51 Little Bourke Street, Melbourne VIC 3000","CBD","-37.8131","144.9634","🏛️","Boutique Hotel","Hotel","Boutique Hotel","[""Hotel"",""Premium"",""Rooftop"",""Wheelchair Accessible""]","heated outdoor",,"$$$$",,"24-hour reception; lobby bar and rooftop subject to hotel operations.","A boutique CBD hotel near Chinatown and the theatres, with an art-filled lobby bar and a rooftop terrace.","https://lancemore.com.au/hotels/lancemore-crossley-st/","(03) 9639 1639","Lancemore Crossley St hotel.",,,,,,,,,
"dv-18",,"The Corner Hotel","The Corner Hotel","57 Swan Street, Richmond VIC 3121","Richmond","-37.8236","144.997","🎸","Live Music Pub","Bar","Live Music Pub","[""Live Music"",""Rooftop"",""Beer Garden"",""Large Groups"",""Wheelchair Accessible""]","heated outdoor",,"$$",,"Tue–Sun rooftop from 12pm–late; band room hours vary by gig.","A Richmond live-music institution with a pub, band room and rooftop bar on Swan Street.","https://cornerhotel.com/","(03) 9427 7300","Iconic Richmond live music pub.",,,,,"true",,,,
"dv-19",,"The Crabshack","The Crabshack Docklands","30 NewQuay Promenade, Docklands VIC 3008","Docklands","-37.8142","144.9425","🦀","Waterfront Restaurant","Bar","Waterfront Restaurant","[""River"",""Sunny"",""Large Groups"",""Wheelchair Accessible"",""Afternoon Sun""]","heated outdoor",,"$$$",,"Daily from 11:30am; later on Friday and Saturday.","A NewQuay seafood restaurant and bar on the Docklands waterfront, built for long lunches and harbour-side drinks.","https://www.thecrabshack.com.au/","(03) 9089 6811","Docklands waterfront dining.",,,,,"false",,,,
"dv-20",,"State Library Victoria","Mr Tulk","328 Swanston Street, Melbourne VIC 3000","CBD","-37.8099","144.9645","📚","Library Cafe","Bar","Library Cafe","[""Specialty Coffee"",""Cozy"",""Sunny"",""Wheelchair Accessible"",""Heaters"",""Indoor Warmth""]","indoor only",,"$$",,"Library cafe hours; typically morning through late afternoon, seven days.","The cafe at State Library Victoria, named for the library’s first librarian, with coffee, all-day food and a CBD meeting-spot crowd.","https://www.mrtulk.com.au/","(03) 8660 5700","State Library Victoria cafe.",,,,,"true",,,,
"dv-21",,"Australian Venue Co","The Espy","11 The Esplanade, St Kilda VIC 3182","St Kilda","-37.8624","144.9734","🎸","Iconic Pub","Bar","Iconic Pub","[""Live Music"",""Views"",""Rooftop"",""Beer Garden"",""Wheelchair Accessible""]","fireplace",,,,"Sun–Thu 12pm–11pm; Fri–Sat 12pm–3am.","An iconic St Kilda pub and live-music venue on the Esplanade, with several bars, dining rooms and bay views.","https://hotelesplanade.com.au/","(03) 9534 0211","Real AVC venue — iconic St Kilda pub.",,,,,,,,,
"dv-22",,"Pacific Concepts","Arbory Afloat","1 Flinders Walk, Melbourne VIC 3000","CBD","-37.819","144.965","🌊","Floating Bar","Bar","Floating Bar","[""River"",""Premium"",""Wheelchair Accessible"",""Smoking Area"",""Shaded"",""Indoor Warmth""]","heated outdoor",,,,"Seasonal operation on the Yarra — check the venue website before visiting.","A seasonal floating bar and beer garden on the Yarra beside Flinders Walk, built for outdoor drinks in warm weather.","https://afloat.melbourne/",,"Real Pacific Concepts venue.",,,,,,,,,
"dv-23",,"Sand Hill Road","The Standard","293 Fitzroy Street, Fitzroy VIC 3065","Fitzroy","-37.7975","144.9772","🌿","Maze Garden",,,"[""Hidden"",""Vines"",""Beer Garden"",""Pet Friendly"",""Heaters""]","heated outdoor",,,,,,,,"Real Sand Hill Road venue.",,"/images/venues/thestandard.jpg",,,,,,,
"dv-25",,"Good Company","La La Land Windsor","134 Chapel Street, Windsor VIC 3181","Windsor","-37.8515","144.9928","🍸","Bar & Restaurant",,,"[""Morning Sun"",""Midday Sun"",""Covered"",""Shaded"",""Cocktails"",""Bar"",""☀️ Sunny Now""]","electric-fireplace",,"$$","120",,,,,"Good Company venue with protected morning sun.",,"/images/venues/lalalandwindsor.jpg",,,,,,,
"dv-26",,"Common Man Group","Pause Bar","268 Carlisle Street, Balaclava VIC 3183","Balaclava","-37.869","144.9954","🧘","Neighbourhood Bar",,,"[""Cozy"",""Covered"",""Shaded"",""Calm"",""Local"",""Indoor Warmth""]","indoor only",,"$","80",,,,,"Independent neighbourhood gem in Balaclava.",,"/images/venues/pausebar.jpg",,,,,,,
"dv-27",,"ALH Group (Endeavour)","Transport Hotel","Federation Square, Flinders Street, Melbourne VIC 3000","CBD","-37.8177","144.968","🚉","High-Exposure Rooftop","Bar","High-Exposure Rooftop","[""Rooftop"",""Views"",""Sunny"",""Exposed"",""Windy""]","heated outdoor",,"$$$","500","Public Bar open daily from 11am; other rooms vary by event.","A Federation Square hospitality complex spanning a pub, dining rooms and a rooftop, used for sport, music and pre-event drinks.","https://www.transporthotel.com.au/","(03) 9654 8808","Critical high-wind alert test site at Fed Square.",,,,,,,,,
"dv-28",,"Australian Venue Co","Good Nature Hotel","Federation Square, Flinders Street, Melbourne VIC 3000","CBD","-37.8175","144.9694","🍺","Urban Pub & Beer Garden","Bar","Urban Pub & Beer Garden","[""Beer Garden"",""Afternoon Sun"",""Live Music"",""Large Groups"",""Wheelchair Accessible"",""Pram Friendly""]","heated outdoor",,"$$","600","Sun–Wed 11am–10pm; Thu–Sat 11am–midnight. Kitchen hours vary.","An Australian Venue Co pub and beer garden in Federation Square, on the former Beer DeLuxe site, with pub dining, sport and a family terrace.","https://goodnaturehotel.com.au/","(03) 9810 0093","AVC pub at Federation Square.",,,,,"true",,,,
"holy-grail",,"Australian Venue Co","Holy Grail","Chapel Street, Windsor VIC 3181","Windsor","-37.854","144.992","🍷","Bar & Restaurant","Bar","Bar & Restaurant","[""dog-friendly"",""indoor-only""]","electric-fireplace",,,,"Daily 3pm–1am.","A Windsor neighbourhood bar focused on rum, cocktails and late-night drinks in a timber-lined room.","https://gcbg.com.au/venues/holy-grail","(03) 9240 5399",,,,,,,"Cozy indoor atmosphere with premium electric fireplace heating.",,,
"union-hotel",,"Australian Venue Co","Union Hotel","Chapel Street, Windsor VIC 3181","Windsor","-37.8528","144.9918","🍺","Pub & Restaurant","Bar","Pub & Restaurant","[""live-music"",""food-available""]","traditional-fireplace",,,,"Mon–Thu 12pm–11pm; Fri–Sat 12pm–late; Sun 12pm–11pm.","A historic Windsor pub serving pub food, tank beer and cocktails, with sport and weekend sessions.","https://www.unionhotelwindsor.com.au/","(03) 9510 4396",,,,,,,"Classic pub warmth with a traditional gas fireplace in the dining room.",,,
"dv-hotel-01",,"Hyatt","Grand Hyatt Melbourne","123 Collins Street, Melbourne VIC 3000","CBD","-37.8148","144.97","🏨","Luxury Hotel","Hotel","Hotel","[""Hotel"",""Business Friendly"",""All-weather"",""Premium"",""Views""]","indoor only",,"$$$$",,"24-hour reception; restaurants and bars keep separate hours.","A five-star Collins Street hotel with city-facing rooms, dining and a central base for the Paris end of the CBD.","https://www.hyatt.com/en-US/hotel/australia/grand-hyatt-melbourne/melrs","(03) 9657 1234","Grand Hyatt Melbourne on Collins Street.",,,,,,,,,
"dv-hotel-02",,"Pullman Melbourne","Pullman Melbourne On the Park","192 Wellington Parade, East Melbourne VIC 3002","East Melbourne","-37.8146","144.9812","🏢","Premium Corporate Hotel","Hotel","Hotel","[""Hotel"",""Conference"",""Business Friendly"",""All-weather"",""Heaters""]","indoor only",,"$$$",,"24-hour hotel operations; check-in from 2pm and check-out by 11am.","A five-star East Melbourne hotel opposite the sporting precinct and near Fitzroy Gardens.","https://all.accor.com/hotel/9875/index.en.shtml","(03) 9419 2000","Pullman Melbourne On the Park.",,,,,,,"[{""id"":""pullman-king-morning"",""name"":""City View King"",""hasBalcony"":true,""hasOutdoorArea"":true,""orientation"":""E"",""floorLevel"":8,""obstructionLevel"":""Partial"",""maxGuests"":2,""baseNightlyRateDemo"":260,""sunScore"":42,""sunProfile"":{""summerHours"":5,""winterHours"":3,""bestSeason"":""Summer"",""peakTime"":""06:00–11:00"",""useCase"":""Morning coffee""}},{""id"":""pullman-sunset-suite"",""name"":""Sunset Suite"",""hasBalcony"":true,""hasOutdoorArea"":true,""orientation"":""W"",""floorLevel"":15,""obstructionLevel"":""Open"",""maxGuests"":2,""baseNightlyRateDemo"":420,""sunScore"":85,""sunProfile"":{""summerHours"":8.5,""winterHours"":6,""bestSeason"":""Summer"",""peakTime"":""14:00–20:30"",""useCase"":""Sunset drinks""}}]",,
"dv-hotel-03",,"Sheraton Melbourne","Sheraton Melbourne Hotel","27 Little Collins Street, Melbourne VIC 3000","CBD","-37.8128","144.9723","✨","Luxury Boutique Hotel","Hotel","Hotel","[""Hotel"",""Rooftop"",""Boutique"",""All-weather""]","heated outdoor",,"$$$$$",,"24-hour front desk; dining hours vary by restaurant.","A luxury CBD hotel near the theatre district, with full-service accommodation, dining and wellness facilities.","https://www.marriott.com/en-us/hotels/melsi-sheraton-melbourne-hotel/overview/","(03) 9290 1000","Sheraton Melbourne Hotel.",,,,,,,"[{""id"":""sheraton-harbor-nw"",""name"":""Harbor Balcony Room"",""hasBalcony"":true,""hasOutdoorArea"":true,""orientation"":""NW"",""floorLevel"":12,""obstructionLevel"":""Open"",""maxGuests"":2,""baseNightlyRateDemo"":380,""sunScore"":82,""sunProfile"":{""summerHours"":8,""winterHours"":5.5,""bestSeason"":""Summer"",""peakTime"":""08:00–17:00"",""useCase"":""Sunset drinks""}},{""id"":""sheraton-club-north"",""name"":""Club Lounge King"",""hasBalcony"":true,""hasOutdoorArea"":true,""orientation"":""N"",""floorLevel"":18,""obstructionLevel"":""Open"",""maxGuests"":2,""baseNightlyRateDemo"":450,""sunScore"":91,""sunProfile"":{""summerHours"":9.5,""winterHours"":7,""bestSeason"":""Summer"",""peakTime"":""08:00–17:00"",""useCase"":""Remote work""}}]",,
"dv-hotel-04",,"Pan Pacific","Pan Pacific Melbourne","2 Convention Centre Place, South Wharf VIC 3006","South Wharf","-37.8253","144.952","🌇","Riverfront Hotel","Hotel","Hotel","[""Hotel"",""Views"",""River"",""Business Friendly"",""Wheelchair Accessible""]","indoor only",,"$$$$",,"24-hour reception; dining hours vary by restaurant.","A five-star South Wharf hotel beside the convention centre, with Yarra and skyline views and direct access into MCEC.","https://www.panpacific.com/en/hotels-and-resorts/pp-melbourne.html","(03) 9027 2000","Pan Pacific Melbourne, South Wharf.",,,,,,,,,
"dv-stay-01",,"Stokehouse","Stokehouse","30 Jacka Boulevard, St Kilda VIC 3182","St Kilda","-37.8672","144.9742","🌊","Beachfront Restaurant","Bar","Beachfront Restaurant","[""Views"",""Premium"",""Sunny"",""Afternoon Sun"",""Wheelchair Accessible""]","heated outdoor",,"$$$$",,"Lunch and dinner daily; Stokehouse St Kilda upstairs and Stokie downstairs keep separate hours.","A landmark St Kilda beach restaurant on Jacka Boulevard, with bay views, seafood-led dining and a more casual downstairs room.","https://stokehouse.com.au/","(03) 9525 5555","St Kilda beachfront dining.",,,,,"false",,,,
"dv-stay-02",,"Naked for Satan","Naked for Satan","285 Brunswick Street, Fitzroy VIC 3065","Fitzroy","-37.7968","144.9782","🍸","Rooftop Bar","Bar","Rooftop Bar","[""Rooftop"",""Cocktails"",""Views"",""Sunny"",""Live Music""]","heated outdoor",,"$$",,"Daily from late morning until late; rooftop hours weather dependent.","A Brunswick Street bar with pintxos, a busy dining room and a rooftop looking over Fitzroy.","https://nakedforsatan.com.au/","(03) 9416 2236","Fitzroy rooftop bar.",,,,,"false",,,,
"dv-stay-03",,"The Retreat Hotel","The Retreat Hotel","280 Sydney Road, Brunswick VIC 3056","Brunswick","-37.7708","144.9608","🍺","Neighbourhood Pub","Bar","Neighbourhood Pub","[""Beer Garden"",""Live Music"",""Pet Friendly"",""Craft Beer"",""Pram Friendly""]","heated outdoor",,"$",,"Daily from midday until late.","A Sydney Road pub with a beer garden, live music and a classic Brunswick local crowd.","https://www.retreathotelbrunswick.com.au/","(03) 9380 4090","Brunswick local pub.",,,,,"true",,,,
"dv-stay-04",,"Ponyfish Island","Ponyfish Island","Southbank Pedestrian Bridge, Melbourne VIC 3006","Southbank","-37.8197","144.9652","🐟","Bridge Bar","Bar","Bridge Bar","[""River"",""Sunny"",""Views"",""Cocktails"",""Afternoon Sun""]","no heating",,"$$",,"Daily from 11am until late, weather permitting.","An open-air bar on the Southbank pedestrian bridge above the Yarra, known for river views, pizza and drinks.","https://ponyfish.com.au/","(03) 9620 5313","Yarra pedestrian-bridge bar.",,,,,"false",,,,
"dv-stay-05",,"Botanical Hotel","Botanical Hotel","169 Domain Road, South Yarra VIC 3141","South Yarra","-37.8342","144.9817","🌿","Bistro & Bar","Bar","Bistro & Bar","[""Sunny"",""Premium"",""Shaded"",""Cocktails"",""Wheelchair Accessible""]","heated outdoor",,"$$$",,"Daily 7am–late. Happy hour 4pm–7pm in the main bar.","A Domain Road hotel opposite the Royal Botanic Gardens, with all-day dining, a main bar and a neighbourhood South Yarra crowd.","https://botanicalhotel.com.au/","(03) 9820 7888","South Yarra hotel bistro.",,,,,"true",,,,
"dv-stay-06",,"Cookie","Cookie","Level 1, Curtin House, 252 Swanston Street, Melbourne VIC 3000","CBD","-37.8115","144.9638","🍻","Beer Hall & Thai","Bar","Beer Hall & Thai","[""Cocktails"",""Large Groups"",""Craft Beer"",""Vegan"",""Indoor Warmth""]","indoor only",,"$$",,"Mon–Sat 12pm–late; Sun 1pm–late. Happy hour Mon–Fri 4pm–7pm.","A Curtin House beer hall, cocktail bar and Thai kitchen on Swanston Street, with tiny balconies over the street.","https://www.cookiemelbourne.com.au/","(03) 9663 7660","Curtin House beer hall.",,,,,"true",,,,
"dv-stay-07",,"The Great Britain Hotel","The Great Britain Hotel","447 Church Street, Richmond VIC 3121","Richmond","-37.8268","144.9975","🍺","Pub & Beer Garden","Bar","Pub & Beer Garden","[""Beer Garden"",""Pet Friendly"",""Craft Beer"",""Live Music"",""Afternoon Sun""]","heated outdoor",,"$$",,"Daily from midday until late.","A Church Street pub with a beer garden, pub meals and a regular Richmond after-work crowd.","https://www.greatbritainhotel.com.au/","(03) 9428 5988","Richmond Church Street pub.",,,,,"true",,,,
"dv-stay-08",,"Borsch, Vodka & Tears","Borsch, Vodka & Tears","173 Chapel Street, Windsor VIC 3181","Windsor","-37.8552","144.9926","🥟","Polish Bar & Restaurant","Bar","Polish Bar & Restaurant","[""Cocktails"",""Cozy"",""Indoor Warmth"",""Live Music""]","indoor only",,"$$",,"Daily from late afternoon until late; kitchen hours vary.","A Chapel Street Polish restaurant and vodka bar known for dumplings, late nights and a tightly packed dining room.","https://www.borschvodkaandtears.com.au/","(03) 9530 2694","Chapel Street Polish bar.",,,,,"true",,,,
"dv-stay-09",,"The Grace Darling Hotel","The Grace Darling Hotel","114 Smith Street, Collingwood VIC 3066","Collingwood","-37.806","144.9835","🏛️","Historic Pub","Bar","Historic Pub","[""Historic"",""Live Music"",""Pub"",""Wheelchair Accessible""]","fireplace",,"$$",,"Tue–Wed 4pm–11pm; Thu 4pm–midnight; Fri–Sat 12pm–1am; Sun 12pm–11pm.","A Smith Street pub dating to the 1850s, with a bistro, band room and a neighbourhood Collingwood crowd.","https://thegracedarlinghotel.com.au/","(03) 9416 0055","Historic Collingwood pub.",,,,,"true",,,,
"dv-stay-10",,"Moon Dog","Moon Dog Funderland","17 Duke Street, Abbotsford VIC 3067","Abbotsford","-37.8028","145.0002","🎢","Brewery Playground","Bar","Brewery Playground","[""Craft Beer"",""Large Groups"",""Pram Friendly"",""Beer Garden"",""Wheelchair Accessible""]","heated outdoor",,"$$",,"Wed–Sun from midday; later on Friday and Saturday.","A warehouse brewery in Abbotsford with carnival-style interiors, a big beer list and food built for groups.","https://www.moondogbrewing.com.au/","(03) 9486 9901","Abbotsford brewery venue.",,,,,"false",,,,
"dv-nat-01",,"Riverland","Riverland Bar","18–20 Batman Avenue, Melbourne VIC 3000","CBD","-37.8193","144.9685","🌊","Riverside Beer Garden","Bar","Riverside Beer Garden","[""River"",""Beer Garden"",""Sunny"",""Large Groups"",""Wheelchair Accessible"",""Afternoon Sun""]","heated outdoor",,"$$","400","Daily from 11am until late, weather permitting.","A beer garden under Federation Square on the Yarra, with pizza, tap beer and river views toward Southbank.","https://www.riverlandbar.com/","(03) 9662 1772","Yarra beer garden at Fed Square.",,,,,"false",,,"Melbourne","VIC"
"dv-nat-02",,"Donovans","Donovans","40 Jacka Boulevard, St Kilda VIC 3182","St Kilda","-37.8678","144.9748","🌅","Beach House Dining","Bar","Beach House Dining","[""Views"",""Premium"",""Sunny"",""Sunset"",""Wheelchair Accessible""]","heated outdoor",,"$$$$",,"Lunch and dinner daily; lounge hours extend later.","A St Kilda beach house restaurant on Jacka Boulevard, known for seafood, bay views and long weekend lunches.","https://www.donovanshouse.com.au/","(03) 9534 8221","St Kilda beach house restaurant.",,,,,"false",,,"Melbourne","VIC"
"dv-nat-03",,"Stomping Ground","Stomping Ground Brewery","100 Gipps Street, Collingwood VIC 3066","Collingwood","-37.8048","144.9868","🍻","Brewery & Beer Hall","Bar","Brewery & Beer Hall","[""Craft Beer"",""Beer Garden"",""Pram Friendly"",""Large Groups"",""Wheelchair Accessible"",""Pet Friendly""]","heated outdoor",,"$$","500","Daily from 11:30am; later on Friday and Saturday.","A Collingwood brewery and beer hall in a former warehouse, with a kids’ play area, pizza and a large tap list.","https://stompingground.beer/","(03) 9416 1044","Collingwood brewery beer hall.",,,,,"true",,,"Melbourne","VIC"
"dv-nat-04",,"Elwood Bathers","Elwood Bathers","15 Elwood Foreshore, Elwood VIC 3184","Elwood","-37.8818","144.9845","🏖️","Foreshore Pavilion","Bar","Foreshore Pavilion","[""Beach"",""Sunny"",""Views"",""Wheelchair Accessible"",""Pram Friendly"",""Sunset""]","heated outdoor",,"$$$",,"Daily from breakfast through dinner; kiosk hours are earlier.","A pavilion restaurant and kiosk on Elwood Beach, with bay views, all-day dining and a casual foreshore setting.","https://www.elwoodbathers.com.au/","(03) 9525 5535","Elwood Beach pavilion.",,,,,"false",,,"Melbourne","VIC"
